,content
292,"The certificates get you nowhere, much affordable and convenient to learn in any other platform"
293,Useless Garbage
294,One of the greatest apps since the induction of the smartphone!
295,Easy to Learn courses. Self paced
296,I can't seem to view the videos after the last update
297,Great app to learn programming . Love you Coursera🥰🥰
298,Most expensive
299,I have enrolled for a course but when i go to submit an assignment the app is sayimg error in enrollment data..it is so disturbing..solition please
300,Hell lots of Bugs
301,Excellent Coursera app for number 1 digital learning platform for online users with end number of free courses. User friendly interface. Very informative study material & World's best online courses on one platform.
302,Feeling happy
303,"The app is not functioning properly on my android device. Kindly look into the glich. Otherwise, a great learning platform."
304,Good platform for learning
305,Each activity in this app loads very slow even after fast internet connection. Hence using web version instead
306,"Owsome and I look forward to having great experience. I love learning at my leisure time, therefore, this app is for me I don't know for others"
307,I can't audit courses. Please fix it. In beginning i can learn a course for free by audit. But now I can't even see any payment options.
308,Coursera is one of the best platforms to learn modern technology and skills. It has changed the way educations is being spread. Thanks to Andrew ng But the application is not working fine. It is not downloading the lectures.
309,Well-done Super
310,Wonderfull Course...I am very Happy..I have completed 1st Course out of 6..You need little Hardwork and good focus to pass on to next level as it advances...Had a very good experience..Thanks to Google.
311,It's a good way to invest the time I'm amazed by the person who had the idea of this app
312,Can't even login. Login button does nothing. Please check.
313,"The mobile app of coursera has some problems. Whenever i write an assignment, for """" and '' it automatically interprets it as &#34 . Please work on this and solve this problem."
314,Excellent Software for learning
315,Nice
316,"It's a great learning platform, good job guys"
317,I want to give it a zero but no option. The problem is I want to talk to the help center but don't know how to.. Please make a reply
318,Bad
319,"I am unable to submit my Unit no. 1 Assignment no .2 :( Written comparison of the job search process) . It's due date is 20 January 2022 . Assignment is not giving option for submission since last week. I tried to open and submit but it's not working it's still closed , there is no option for solutions. Please help me, I have to solve my assignment in-time."
320,"After updating my app, I can't even download and save tutorial videos anymore. Please help"
321,This app is amazing! I'm very self aware that it take me longer to learn. But coursera is helping a lot with it.
322,Cool
323,Best application and Google website to enhance and improve the quality of your education with courses.
324,"No permission camera Hey pls update youre apps, i need to verify id. I cant use it on browser so i think with it will work well with the apps. But the app doesnt include permission camera when it needed. :("
325,"Please add language switch to the app. The Russian locale is painful to use, and the only workaround is to switch my whole system to English."
326,"It overwhelmed me right from the beginning. As a paralyzed Disabled Veteran who also sustained a bad head injury, until I know something very well, time leads to pressure. Plus, this thing is trying to charge me right from the beginning. I've not been in school since 1985 and it wants to throw a huge load at me? I'll find a free one that will go at my own pace."
327,It is an excellent and convenient way of learning. You can access to hundreds of courses on your smart devices and Laptops. Great work and I highly recommend you people to please enroll yourself.
328,"This app give me a opportunity to gain knowledge, I gave this app a 5 star because at the time of recession in my family this app give me to gain knowledge at that time. Thank you coursera. I think i will become successful because of coursera."
329,Refund still not credited in my bank.... waiting since long
330,Excellent
331,Not all is explained well
332,"Unable to verify myself,its a pathetic app and worst part is cant even give it camera permissions"
333,Good educational app 😍
334,"App is not working for past few days. It always tells to check your internet connection desipite having a good internet connection and your website is not working as well. I am not able to complete my course. If someone from your team reading this, please resolve this issue before my course duration ends."
335,It says you can audit classes free but tries to get a credit card number. Boo! Shame on you!
336,Just love it😍
337,Great courses for the knowledge hungry !
338,"Code doesn't work in app, video player has a lot of bugs"
339,The app is trash can't verify I'd can't watch videos nothing loads I have completed my course 6 months ago and still can't get my certificate
340,Excellent
341,Nice
342,App not working properly. Every time I want to upgrade is show error
343,Give free digital certificate
344,I submitted an assignment but it showed plagiarized.. then I resubmitted an another assignment.. I saw many grades in this assignment but the course already has overriden it.. and still showing plagiarized.
345,"It's a great platform for the real learners and those who are deserving. It's practical, object oriented and conceptual . It perfectly matches any check box fir everyone. Seriously recommend it. Good job developers and keep up the good work ."
346,App is very good. Finding how to make a payment is hell and Coursera is useless
347,"The questions in the assignment are vanished and now I'm unable to submit them. I'm trying for last 3 days and despite of having a good internet connection, I'm still unable to view the questions."
348,Really Needs a button for taking notes like on the desktop website but other than that great app
349,Awesome platform to make productive your time
350,Good learning app for lerners .... I enjoyed it ...thanks team coursera...
351,"This app makes me much more engaged,focused, experience, gained knowledge and further ability in awide information that's gives informed all aspects of lives."
352,Wonderful App I learned new skills here
353,"This app honestly has the best courses in app development, and yet this app is so incompletely designed that it would make it difficult for you to learn it either. On a serious note, the download section of the app doesn't work, the financial aid application can't be filled and the ID verification doesn't work either. It would be great if you could look into these issues. Thanks"
354,Trying to restart a course. First run was amazing. Great lecture on Audio Engineering. I'll be coming back in immediately. Within the next few hours. Big Ups
355,Excellent
